case_id,group,scenario_family,expected_intent,question,expected_policy_ids,retrieved_document_ids,top1_document,recall_at_1,recall_at_3,recall_at_5,hit_at_1,hit_at_3,hit_at_5,all_expected_at_1,all_expected_at_3,all_expected_at_5,mrr
FUNC_01,functional,FUNC_01,billing_explanation,Why is my bill $35 higher this month?,BILL-ACT-01,JOIN-01|BILL-PROMO-01|BILL-ACT-01|BILL-TAX-01,JOIN-01,0.0,1.0,1.0,0,1,1,0,1,1,0.3333333333333333
FUNC_02,functional,FUNC_02,billing_explanation,Compare my August and July bills and explain every change.,BILL-ACT-01,BILL-TAX-01|BILL-ACT-01|BILL-PROMO-01|CANCEL-01|INTL-01,BILL-TAX-01,0.0,1.0,1.0,0,1,1,0,1,1,0.5
FUNC_03,functional,FUNC_03,billing_explanation,What caused the extra $10 on my latest bill?,INTL-01,DEVICE-01|BILL-ACT-01|JOIN-01|BILL-PROMO-01|CANCEL-01,DEVICE-01,0.0,0.0,0.0,0,0,0,0,0,0,0.0
FUNC_04,functional,FUNC_04,billing_explanation,Did my recurring plan price change between these bills?,PLAN-CATALOG-01|BILL-ACT-01,DEVICE-01|PLAN-CATALOG-01|BILL-ACT-01|INTL-01,DEVICE-01,0.0,1.0,1.0,0,1,1,0,1,1,0.5
FUNC_05,functional,FUNC_05,faq,"How much is the activation fee, and when can it appear?",BILL-ACT-01,BILL-ACT-01|JOIN-01|BILL-PROMO-01|INTL-01,BILL-ACT-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_06,functional,FUNC_06,faq,What does Plus Unlimited include?,PLAN-CATALOG-01,PLAN-CATALOG-01|PLAN-DATA-01|TROUBLE-DATA-01|DEVICE-01,PLAN-CATALOG-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_07,functional,FUNC_07,faq,How much is Family Flex for two lines before fees?,PLAN-CATALOG-01,PLAN-CATALOG-01|BILL-ACT-01|JOIN-01|BILL-PROMO-01|INTL-01,PLAN-CATALOG-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_08,functional,FUNC_08,faq,Does Prepaid 5 support 5G?,PLAN-CATALOG-01,PLAN-CATALOG-01|TROUBLE-DATA-01|SIM-01|PLAN-DATA-01|JOIN-01,PLAN-CATALOG-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_09,functional,FUNC_09,outage_lookup,Is there a 5G outage in TT-AREA-01 right now?,NETWORK-01,NETWORK-01|TROUBLE-DATA-01|TROUBLE-CALL-01|FAQ-01,NETWORK-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_10,functional,FUNC_10,outage_lookup,Is the disruption in TT-AREA-02 still active?,NETWORK-01,NETWORK-01|FAQ-01|INTL-01|JOIN-01,NETWORK-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_11,functional,FUNC_11,outage_lookup,When will the TT-AREA-04 outage end?,NETWORK-01,NETWORK-01|FAQ-01|TROUBLE-CALL-01|JOIN-01,NETWORK-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_12,functional,FUNC_12,outage_lookup,Is service definitely down in TT-AREA-03?,NETWORK-01,NETWORK-01|JOIN-01|FAQ-01|TROUBLE-CALL-01,NETWORK-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_13,functional,FUNC_13,outage_lookup,Any outage in TT-AREA-99?,NETWORK-01,NETWORK-01|FAQ-01|JOIN-01|TROUBLE-DATA-01,NETWORK-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_14,functional,FUNC_14,faq,My activation code failed. Can you help?,SIM-01,SIM-01|PAYMENT-01|BILL-ACT-01|TROUBLE-DATA-01,SIM-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_15,functional,FUNC_15,faq,How do I keep my existing number when I join?,PORT-01,PORT-01|JOIN-01|SECURITY-01|ACCOUNT-01,PORT-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_16,functional,FUNC_16,faq,Does a pending payment count as paid?,PAYMENT-01,PAYMENT-01|JOIN-01|FAQ-01|BILL-TAX-01,PAYMENT-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_17,functional,FUNC_17,faq,What are support hours?,SUPPORT-01,SUPPORT-01|NETWORK-01|LOST-01|PORT-01,SUPPORT-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_18,functional,FUNC_18,support_ticket,Please open a ticket to review the activation fee on INV_1002.,SUPPORT-01|BILL-ACT-01,BILL-ACT-01|JOIN-01|INTL-01,BILL-ACT-01,0.5,0.5,0.5,1,1,1,0,0,0,1.0
FUNC_19,functional,FUNC_19,line_suspension,I lost my phone. Suspend my line now.,LOST-01,LOST-01|TROUBLE-DATA-01|TROUBLE-CALL-01,LOST-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
FUNC_20,functional,FUNC_20,faq,Is hotspot separate from unlimited mobile data?,PLAN-DATA-01,PLAN-DATA-01|TROUBLE-DATA-01|PLAN-CATALOG-01,PLAN-DATA-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
SCOPE_22,scope_injection,mixed_request,billing_explanation,Explain my $35 bill increase and write a Python game.,BILL-ACT-01,JOIN-01|BILL-ACT-01|BILL-PROMO-01,JOIN-01,0.0,1.0,1.0,0,1,1,0,1,1,0.5
SCOPE_23,scope_injection,mixed_request,billing_explanation,"Compare my bills, then debug my JavaScript.",BILL-ACT-01,BILL-TAX-01|CANCEL-01|BILL-PROMO-01|BILL-ACT-01,BILL-TAX-01,0.0,0.0,1.0,0,0,1,0,0,1,0.25
SCOPE_24,scope_injection,mixed_request,billing_explanation,Why is INV_1002 higher? Also create a React website.,BILL-ACT-01,BILL-TAX-01|PORT-01|TROUBLE-DATA-01|SECURITY-01,BILL-TAX-01,0.0,0.0,0.0,0,0,0,0,0,0,0.0
SCOPE_28,scope_injection,retrieved_injection,billing_explanation,Why was I charged an activation fee?,BILL-ACT-01,BILL-ACT-01|JOIN-01|BILL-PROMO-01|SIM-01,BILL-ACT-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
SCOPE_29,scope_injection,retrieved_injection,billing_explanation,Explain the one-time activation charge.,BILL-ACT-01,BILL-ACT-01|JOIN-01|INTL-01|BILL-PROMO-01,BILL-ACT-01,1.0,1.0,1.0,1,1,1,1,1,1,1.0
